"Found","Response Code","Content Length"
"/wordpress/wp-includes/rss.php","500","185"
"/wordpress/wp-includes/session.php","500","185"
"/wordpress/wp-includes/css/dist/components/","200","1853"
"/wordpress/wp-includes/taxonomy.php","200","147"
"/wordpress/wp-includes/css/dist/components/.hta/","403","451"
"/wordpress/wp-includes/css/dist/components/.hta.php","403","451"
"/wordpress/wp-includes/css/dist/components/.htpasswd.php","403","451"
"/wordpress/wp-includes/css/dist/components/.htaccess.php","403","451"
"/wordpress/wp-includes/css/dist/components/.htaccess/","403","451"
"/wordpress/wp-includes/css/dist/components/.htpasswd/","403","451"
"/wordpress/wp-includes/template.php","200","147"
"/wordpress/wp-includes/theme.php","200","147"
"/wordpress/wp-includes/blocks/rss.php","500","185"
"/wordpress/wp-content/themes/","200","147"
"/wordpress/wp-includes/js/dist/","200","178"
"/wordpress/wp-includes/update.php","500","185"
"/wordpress/wp-includes/blocks/search.php","500","185"
"/wordpress/wp-includes/user.php","200","147"
"/wordpress/wp-includes/css/dist/editor/","200","2729"
"/wordpress/wp-includes/version.php","200","147"
"/wordpress/wp-content/uploads/","200","1379"
"/wordpress/wp-includes/widgets/","200","5536"
"/wordpress/wp-includes/widgets.php","200","147"
"/wordpress/wp-includes/js/jquery/","200","4916"
"/wordpress/wp-admin/.hta/","403","451"
"/wordpress/wp-admin/.htaccess/","403","451"
"/wordpress/wp-admin/.htpasswd/","403","451"
"/wordpress/wp-content/plugins/.hta.php","403","451"
"/wordpress/wp-content/plugins/.htaccess.php","403","451"
"/wordpress/wp-content/plugins/.htpasswd.php","403","451"
"/wordpress/wp-admin/.hta.php","403","451"
"/wordpress/wp-admin/.htaccess.php","403","451"
"/wordpress/wp-admin/.htpasswd.php","403","451"
"/wordpress/wp-content/plugins/.hta/","403","451"
"/wordpress/wp-content/plugins/.htaccess/","403","451"
"/wordpress/wp-content/plugins/.htpasswd/","403","451"
"/wordpress/wp-includes/images/media/","200","2842"
"/wordpress/wp-includes/images/media/.hta.php","403","451"
"/wordpress/wp-includes/widgets/.hta.php","403","451"
